,id,zipcode,price,price_median,price_median_season,describe_condition,status,sale_price,gain
0,5111400086,98038,110000.0,342500.0,342000.0,excellent,buy,143000.0,33000.0
1,1545801970,98038,250000.0,342500.0,342000.0,excellent,buy,325000.0,75000.0
2,1545806720,98038,254950.0,342500.0,342000.0,excellent,buy,331435.0,76485.0
3,1545803340,98038,269000.0,342500.0,342000.0,excellent,buy,349700.0,80700.0
4,1545807990,98038,315000.0,342500.0,342000.0,excellent,buy,409500.0,94500.0
5,1441300130,98038,319000.0,342500.0,342000.0,excellent,buy,414700.0,95700.0
6,2085200545,98038,180000.0,342500.0,342000.0,good,buy,234000.0,54000.0
7,2310000250,98038,190000.0,342500.0,342000.0,good,buy,247000.0,57000.0
8,1545807180,98038,190000.0,342500.0,342000.0,good,buy,247000.0,57000.0
9,2525310040,98038,206000.0,342500.0,342000.0,good,buy,267800.0,61800.0
10,1022069050,98038,207000.0,342500.0,342000.0,good,buy,269100.0,62100.0
11,2525300200,98038,215000.0,342500.0,342000.0,good,buy,279500.0,64500.0
12,2215900930,98038,225000.0,342500.0,342000.0,good,buy,292500.0,67500.0
13,2525300030,98038,232000.0,342500.0,342000.0,good,buy,301600.0,69600.0
14,1545808960,98038,237500.0,342500.0,342000.0,good,buy,308750.0,71250.0
15,1545803520,98038,251000.0,342500.0,342000.0,good,buy,326300.0,75300.0
16,2215901230,98038,254000.0,342500.0,342000.0,good,buy,330200.0,76200.0
17,2215901190,98038,254000.0,342500.0,342000.0,good,buy,330200.0,76200.0
18,2025700270,98038,260250.0,342500.0,342000.0,good,buy,338325.0,78075.0
19,2025700200,98038,265000.0,342500.0,342000.0,good,buy,344500.0,79500.0
20,2025700430,98038,269500.0,342500.0,342000.0,good,buy,350350.0,80850.0
21,2025700130,98038,269950.0,342500.0,342000.0,good,buy,350935.0,80985.0
22,2310000380,98038,269950.0,342500.0,342000.0,good,buy,350935.0,80985.0
23,2215902010,98038,275000.0,342500.0,342000.0,good,buy,357500.0,82500.0
24,2310000280,98038,275000.0,342500.0,342000.0,good,buy,357500.0,82500.0
25,422069067,98038,276500.0,342500.0,342000.0,good,buy,359450.0,82950.0
26,2025701530,98038,282000.0,342500.0,342000.0,good,buy,366600.0,84600.0
27,2310000430,98038,284000.0,342500.0,342000.0,good,buy,369200.0,85200.0
28,2025700730,98038,287200.0,342500.0,342000.0,good,buy,373360.0,86160.0
29,2025700790,98038,290700.0,342500.0,342000.0,good,buy,377910.0,87210.0
30,7437100570,98038,291000.0,342500.0,342000.0,good,buy,378300.0,87300.0
31,2025701190,98038,295000.0,342500.0,342000.0,good,buy,383500.0,88500.0
32,2215900900,98038,295000.0,342500.0,342000.0,good,buy,383500.0,88500.0
33,222069082,98038,300000.0,342500.0,342000.0,good,buy,390000.0,90000.0
34,2025701390,98038,316000.0,342500.0,342000.0,good,buy,410800.0,94800.0
35,2215900410,98038,323000.0,342500.0,342000.0,good,buy,419900.0,96900.0
36,2538800030,98038,156601.0,342500.0,342000.0,median,buy,203581.30000000002,46980.30000000002
37,6661200050,98038,175000.0,342500.0,342000.0,median,buy,227500.0,52500.0
38,4123800320,98038,176000.0,342500.0,342000.0,median,buy,228800.0,52800.0
39,2781270090,98038,195000.0,342500.0,342000.0,median,buy,253500.0,58500.0
40,2215901840,98038,199000.0,342500.0,342000.0,median,buy,258700.0,59700.0
41,1442800150,98038,199950.0,342500.0,342000.0,median,buy,259935.0,59985.0
42,2781270210,98038,209900.0,342500.0,342000.0,median,buy,272870.0,62970.0
43,5113260170,98038,215000.0,342500.0,342000.0,median,buy,279500.0,64500.0
44,6661200260,98038,220000.0,342500.0,342000.0,median,buy,286000.0,66000.0
45,2781250750,98038,222000.0,342500.0,342000.0,median,buy,288600.0,66600.0
46,2781250530,98038,225000.0,342500.0,342000.0,median,buy,292500.0,67500.0
47,2781250560,98038,234000.0,342500.0,342000.0,median,buy,304200.0,70200.0
48,1545803890,98038,240000.0,342500.0,342000.0,median,buy,312000.0,72000.0
49,9407150130,98038,240000.0,342500.0,342000.0,median,buy,312000.0,72000.0
50,2781270440,98038,241000.0,342500.0,342000.0,median,buy,313300.0,72300.0
51,8856950310,98038,245000.0,342500.0,342000.0,median,buy,318500.0,73500.0
52,2781250970,98038,250000.0,342500.0,342000.0,median,buy,325000.0,75000.0
53,2781250610,98038,250000.0,342500.0,342000.0,median,buy,325000.0,75000.0
54,1545805460,98038,252000.0,342500.0,342000.0,median,buy,327600.0,75600.0
55,1545800710,98038,258000.0,342500.0,342000.0,median,buy,335400.0,77400.0
56,1545806510,98038,260000.0,342500.0,342000.0,median,buy,338000.0,78000.0
57,1545805730,98038,260000.0,342500.0,342000.0,median,buy,338000.0,78000.0
58,1545801340,98038,261000.0,342500.0,342000.0,median,buy,339300.0,78300.0
59,7437101030,98038,265000.0,342500.0,342000.0,median,buy,344500.0,79500.0
60,1545800730,98038,269950.0,342500.0,342000.0,median,buy,350935.0,80985.0
61,9542840450,98038,274000.0,342500.0,342000.0,median,buy,356200.0,82200.0
62,6679000130,98038,275000.0,342500.0,342000.0,median,buy,357500.0,82500.0
63,7437100770,98038,275000.0,342500.0,342000.0,median,buy,357500.0,82500.0
64,9542840340,98038,275000.0,342500.0,342000.0,median,buy,357500.0,82500.0
65,1545801410,98038,276900.0,342500.0,342000.0,median,buy,359970.0,83070.0
66,5104530680,98038,278226.0,342500.0,342000.0,median,buy,361693.8,83467.79999999999
67,6679001060,98038,279000.0,342500.0,342000.0,median,buy,362700.0,83700.0
68,8856960720,98038,280000.0,342500.0,342000.0,median,buy,364000.0,84000.0
69,2310010270,98038,280500.0,342500.0,342000.0,median,buy,364650.0,84150.0
70,3793500550,98038,289950.0,342500.0,342000.0,median,buy,376935.0,86985.0
71,9406590250,98038,293000.0,342500.0,342000.0,median,buy,380900.0,87900.0
72,6679000370,98038,295000.0,342500.0,342000.0,median,buy,383500.0,88500.0
73,9542830160,98038,299900.0,342500.0,342000.0,median,buy,389870.0,89970.0
74,5416510830,98038,300000.0,342500.0,342000.0,median,buy,390000.0,90000.0
75,5416500520,98038,300000.0,342500.0,342000.0,median,buy,390000.0,90000.0
76,9542830210,98038,300000.0,342500.0,342000.0,median,buy,390000.0,90000.0
77,9542830430,98038,300000.0,342500.0,342000.0,median,buy,390000.0,90000.0
78,1545804510,98038,302000.0,342500.0,342000.0,median,buy,392600.0,90600.0
79,9406520290,98038,305000.0,342500.0,342000.0,median,buy,396500.0,91500.0
80,9406520580,98038,305000.0,342500.0,342000.0,median,buy,396500.0,91500.0
81,5422950080,98038,305000.0,342500.0,342000.0,median,buy,396500.0,91500.0
82,255450250,98038,307635.0,342500.0,342000.0,median,buy,399925.5,92290.5
